,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
19,4361,LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,39.0,EU,Italy,IT,Friuli-Venezia Giulia,IT-36,36,Trieste,1,LIPQ,TRS,GO02,http://www.aeroporto.fvg.it/,https://en.wikipedia.org/wiki/Trieste_%E2%80%93_Friuli_Venezia_Giulia_Airport,"Ronchi Dei Legionari Airport, Trieste-Ronchi dei Legionari Airport",750,2016-09-02T03:06:03+00:00
20,4330,LIEA,medium_airport,Alghero-Fertilia Airport,40.632099,8.29077,87.0,EU,Italy,IT,Sardinia,IT-88,88,Alghero,1,LIEA,AHO,SS02,http://www.aeroportodialghero.it/home_en.asp,https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport,"Alghero Airport, Sardinia, Alghero - Riviera del Corallo Airport",750,2016-07-02T10:39:20+00:00
22,4367,LIPY,medium_airport,Marche Airport,43.616299,13.3623,49.0,EU,Italy,IT,Marche,IT-57,57,Ancona,1,LIPY,AOI,AN01,http://www.aeroportomarche.com/index.php?lang=english,https://en.wikipedia.org/wiki/Marche_Airport,"Ancona Falconara Airport, Falconara, Raffaello Sanzio Airport",750,2021-01-28T13:08:43+00:00
23,4315,LIBR,large_airport,Brindisi Airport,40.6576,17.947001,47.0,EU,Italy,IT,Apulia,IT-75,75,Brindisi,1,LIBR,BDS,BR03,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=29,https://en.wikipedia.org/wiki/Brindisi_Airport,"Brindisi Papola Casale Airport, Brindisi Salento Airport, Brindisi Casale Antonio Papolo Airport, Salento Airport",1000,2022-03-22T15:26:43+00:00
24,4324,LICT,medium_airport,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25.0,EU,Italy,IT,Sicily,IT-82,82,Trapani (TP),1,LICT,TPS,TP01,,https://en.wikipedia.org/wiki/Vincenzo_Florio_Airport_Trapani%E2%80%93Birgi,"Vincenzo Florio Airport, Trapani Airport, Aeroporto Vincenzo Florio di Trapani-Birgi",750,2016-08-12T15:07:56+00:00
25,4362,LIPR,medium_airport,Federico Fellini International Airport,44.020302,12.6117,40.0,EU,Italy,IT,Emilia-Romagna,IT-45,45,Rimini,1,LIPR,RMI,RN01,http://www.riminiairport.com/english/,https://en.wikipedia.org/wiki/Federico_Fellini_International_Airport,"Rimini Miramare Airport, Rimini San Marino International Airport",750,2021-10-13T23:57:02+00:00
27,4317,LICA,medium_airport,Lamezia Terme Airport,38.905399,16.2423,39.0,EU,Italy,IT,Calabria,IT-78,78,Lamezia Terme (CZ),1,LICA,SUF,CZ02,,https://en.wikipedia.org/wiki/Lamezia_Terme_International_Airport,,750,2016-08-17T06:06:28+00:00
28,4352,LIPB,medium_airport,Bolzano Airport,46.460201,11.3264,789.0,EU,Italy,IT,Trentino-Alto Adige,IT-32,32,Bolzano,1,LIPB,BZO,BZ01,http://www.abd-airport.it/en/home.htm,https://en.wikipedia.org/wiki/Bolzano_Airport,G Sabelli,750,2016-09-04T08:29:43+00:00
29,4375,LIRJ,medium_airport,Marina Di Campo Airport,42.7603,10.2394,31.0,EU,Italy,IT,Tuscany,IT-52,52,Marina  Di Campo,1,LIRJ,EBA,LI04,,https://en.wikipedia.org/wiki/Marina_di_Campo_Airport,,750,2018-09-13T12:38:49+00:00
30,4357,LIPK,medium_airport,Forlì Airport,44.194801,12.0701,97.0,EU,Italy,IT,Emilia-Romagna,IT-45,45,Forlì (FC),1,LIPK,FRL,FC03,,https://en.wikipedia.org/wiki/Forl%C3%AC_Airport,"L Ridolfi, Ronco di Forlì",750,2016-07-24T01:03:50+00:00
31,4347,LIMP,medium_airport,Parma Airport,44.824501,10.2964,161.0,EU,Italy,IT,Emilia-Romagna,IT-45,45,Parma,1,LIMP,PMF,PR03,,https://en.wikipedia.org/wiki/Parma_Airport,,750,2016-09-20T06:32:46+00:00
32,4314,LIBP,medium_airport,Abruzzo Airport,42.431702,14.1811,48.0,EU,Italy,IT,Abruzzi,IT-65,65,Pescara,1,LIBP,PSR,PE01,http://www.abruzzo-airport.it/eng/index.php,https://en.wikipedia.org/wiki/Abruzzo_Airport,"Pescara, Abruzzo Pasquale Liberi International",750,2021-01-28T13:14:25+00:00
33,4343,LIMG,medium_airport,Villanova D'Albenga International Airport,44.050598,8.12743,148.0,EU,Italy,IT,Liguria,IT-42,42,Albenga (SV),0,LIMG,ALL,SV01,http://www.rivierairport.it/,https://en.wikipedia.org/wiki/Villanova_d'Albenga_International_Airport,C. Panero Airport,750,2021-05-29T07:13:51+00:00
34,4338,LIMA,medium_airport,Torino-Aeritalia Airport,45.086399,7.60337,943.0,EU,Italy,IT,Piedmont,IT-21,21,Torino,0,LIMA,,TO12,http://www.aeroclubtorino.it/index.php,https://en.wikipedia.org/wiki/Torino-Aeritalia_Airport,Torino Aero Club,250,2016-09-10T06:32:30+00:00
35,4350,LIMZ,medium_airport,Cuneo International Airport,44.547001,7.62322,1267.0,EU,Italy,IT,Piedmont,IT-21,21,Cuneo,1,LIMZ,CUF,CN03,http://www.aeroporto.cuneo.it/,https://en.wikipedia.org/wiki/Cuneo_International_Airport,"Cuneo Levaldigi Airport, Turin Cuneo Airport",750,2016-07-30T05:39:02+00:00
36,4360,LIPO,medium_airport,Brescia Airport,45.428902,10.3306,355.0,EU,Italy,IT,Lombardy,IT-25,25,Montichiari (BS),1,LIPO,VBS,BS04,http://www.aeroportobrescia.it/en/business_t6/,https://en.wikipedia.org/wiki/Brescia_Airport,Brescia Airport Gabriele D'Annunzio,750,2016-08-22T14:10:52+00:00
