id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
317856,LIAL,small_airport,"Aviosuperficie Sant'Illuminato",43.353667,12.216667,984,EU,Italy,IT,Umbria,IT-55,55,"Città di Castello (PG)",0,LIAL,,PG07,,,,50,2016-07-16T09:23:03+00:00
317746,IT-0211,small_airport,"Al Casale Airfield",45.984782,12.923537,148,EU,Italy,IT,"Friuli-Venezia Giulia",IT-36,36,"Codroipo (UD)",0,,,UDCOD,http://www.alcasale.eu,,"Casali Loreto, Al Casale",50,2022-10-13T16:19:32+00:00
320539,IT-0462,small_airport,"Campo di Volo Cogliate",45.640218,9.066056,,EU,Italy,IT,Lombardy,IT-25,25,"Cogliate (MI)",0,,,MICOG,,,,50,2017-05-21T07:03:37+00:00
315663,IT-0090,small_airport,"Aviosuperfice Mensanello",43.372874,11.120749,,EU,Italy,IT,Tuscany,IT-52,52,"Colle di val d'Elsa (SI)",0,,,SIMEN,,,Mensanello,50,2017-06-29T22:18:33+00:00
319672,IT-0340,small_airport,"Campo di Volo ""Delta club Conselice""",44.541928,11.792177,9,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Conselice (RA)",0,,,RA09,,,"Delta club Conselice",50,2016-07-27T01:42:47+00:00
318979,IT-0245,small_airport,"Val Vibrata Flying Field",42.809474,13.847142,269,EU,Italy,IT,Abruzzi,IT-65,65,"Corropoli (TE)",0,,,TEVAL,,,"Campo di Volo ""Val Vibrata"", Avio Club Val Vibrata, Corropoli",50,2021-01-28T13:11:46+00:00
31824,LIDI,closed,"Cortina Airport",46.573001861600005,12.118000030500001,4213,EU,Italy,IT,Veneto,IT-34,34,"Cortina D'Ampezzo",0,,,,,https://en.wikipedia.org/wiki/Cortina_Airport,"Fiames Airport, LIDI, CDF",50,2015-03-13T07:58:10+00:00
308679,IT-0043,small_airport,"Aviosuperficie Boglietto",44.758611,8.183056,610,EU,Italy,IT,Piedmont,IT-21,21,"Costigliole d'Asti (AT)",0,,,ATBOG,http://www.aviosuperficieboglietto.it/,,Boglietto,50,2016-11-27T03:05:02+00:00
308687,IT-0051,small_airport,"Aviosuperficie Cumiana",44.939043,7.428925,984,EU,Italy,IT,Piedmont,IT-21,21,"Cumiana (TO)",0,,,TOCUM,,,Skydreamcenter,50,2017-07-02T14:35:44+00:00
319625,IT-0325,small_airport,"Aviosuperficie Città di Curtatone",45.101333,10.75005,68,EU,Italy,IT,Lombardy,IT-25,25,Curtatone,0,,,MNSSV,,,"Aeroclub Mantova",50,2017-06-08T06:33:14+00:00
319607,IT-0322,small_airport,"Campo di Volo Aerlight Faenza",44.3353333,11.9178667,52,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Faenza (RA)",0,,,RA01,,https://it.wikipedia.org/wiki/Campo_di_volo_Aerlight_Faenza,Aerlight,50,2016-07-24T01:23:28+00:00
319736,IT-0352,small_airport,"Aviosuperficie Aviodelta",44.706594,10.249517,524,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Felino (PR)",0,,,PRFEL,,,Aviodelta,50,2017-06-25T06:23:56+00:00
319115,LINF,small_airport,"Fermano Airfield",43.22652,13.74252,49,EU,Italy,IT,Marche,IT-57,57,"Fermo (FM)",0,LINF,,APFRM,,,"Aviosuperficie del Fermano",50,2022-06-20T06:30:08+00:00
30298,LIDV,small_airport,"Prati Vecchi D'Aguscello Airport",44.790298,11.6692,20,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Ferrara (FE)",0,LIDV,,FE02,,,,50,2016-08-26T00:55:42+00:00
29414,LIAF,small_airport,"Foligno Airport",42.9328,12.7101,730,EU,Italy,IT,Umbria,IT-55,55,"Foligno (PG)",0,LIAF,,PG02,,,,50,2016-07-16T09:19:56+00:00
308688,IT-0052,small_airport,"Aviosuperficie Francavilla Bisio",44.729868,8.730075,525,EU,Italy,IT,Piedmont,IT-21,21,"Francavilla Bisio (AL)",0,,,ALFVB,,,,50,2016-11-07T01:56:16+00:00
308673,IT-0037,small_airport,"Aviosuperficie Merlo Romano",44.834433,7.363565,1000,EU,Italy,IT,Piedmont,IT-21,21,"Garzigliana (TO)",0,,,TOGAR,,,"Merlo Romano",50,2017-07-02T12:49:48+00:00
317785,IT-0212,small_airport,"Campo di Volo ""Air Patria""",40.926943,14.061944,100,EU,Italy,IT,Campania,IT-72,72,"Giuliano (NA)",0,,,NAPAT,,,"Lago Patria",50,2017-06-08T06:36:15+00:00
319170,IT-0252,small_airport,"Campo di Volo ""Delta Culture Club""",44.571111,11.451667,115,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Granarolo Emilia (BO)",0,,,BOGRA,,,"Delta Culture Club, Granarolo",50,2016-12-02T08:36:11+00:00
315872,IT-0101,small_airport,"Campo di Volo ""Aerolight Marche""",43.512778,13.193611,328,EU,Italy,IT,Marche,IT-57,57,"Jesi (AN)",0,,,ANJES,,,"Delta Club Jesi",50,2016-11-11T04:55:03+00:00
4307,LIAP,small_airport,"L'Aquila–Preturo Airport",42.379902,13.3092,2211,EU,Italy,IT,Abruzzi,IT-65,65,L'Aquila,0,LIAP,QAQ,AQ03,http://www.aeroportodeiparchi.it/,https://en.wikipedia.org/wiki/L%27Aquila%E2%80%93Preturo_Airport,"Parchi Airport, Preturo Airport, Aeroporto dei Parchi di I'Aquila Preturo",50,2016-08-26T01:25:01+00:00
29421,LIDL,small_airport,"Legnago Airport",45.133202,11.2922,30,EU,Italy,IT,Veneto,IT-34,34,Legnago,0,LIDL,,VR09,,,,50,2016-07-02T11:02:46+00:00
298708,IT-0014,small_airport,"Aviosuperficie Oasi dei Re",36.72148,14.77365,128,EU,Italy,IT,Sicily,IT-82,82,"Marina di Modica (RG)",0,,,RGMDM,http://www.flymodica.it/,,,50,2017-06-25T23:30:55+00:00
308685,IT-0049,small_airport,"Aviosuperficie CHAVEZ-MARINI",46.134167,8.306333,912,EU,Italy,IT,Piedmont,IT-21,21,"Masera (VB)",0,,,VBMAS,,,,50,2017-07-16T00:53:47+00:00
318914,IT-0242,small_airport,"Aviosuperficie Corte",40.10667,18.25833,262,EU,Italy,IT,Apulia,IT-75,75,"Melpignano (LE)",0,LINB,,LE12,http://www.aviosuperficielecce.it,,,50,2017-01-08T05:21:39+00:00
315914,IT-0118,small_airport,"Aviosuperficie Mezzana Bigli",45.065409,8.835176,,EU,Italy,IT,Lombardy,IT-25,25,"Mezzana Bigli (PV)",0,,,PVMBI,,,"Nando Groppo,Club Astra",50,2017-06-23T00:55:00+00:00
319213,IT-0255,small_airport,"Aviosuperficie Molinella",44.5982,11.656286,22,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Molinella (BO)",0,,,BOMOL,,,,50,2016-12-02T06:02:27+00:00
317888,IT-0221,small_airport,"Aviosuperficie ""Avioclub Montagnana""",45.24438,11.42567,32,EU,Italy,IT,Veneto,IT-34,34,"Montagnana (PD)",0,,,PDMON,,,Baschirotto,50,2017-06-10T07:56:37+00:00
316999,IT-0170,small_airport,"Aviosuperficie Kong",45.76161,9.44497,633,EU,Italy,IT,Lombardy,IT-25,25,"Monte Marenzo (LC)",0,,,LCMON,,,Kong,50,2017-02-10T06:51:24+00:00
320452,IT-0454,small_airport,"Fly Roma Airfield",41.884894,12.718286,190,EU,Italy,IT,Lazio,IT-62,62,"Montecompatri (RM)",0,,,RMOSA,http://www.flyroma.it,,"Aviosuperficie Fly Roma, Paracentro Roma",50,2021-10-17T20:39:34+00:00
320111,IT-0406,small_airport,"Campo di Volo Fly Synthesis",45.968667,13.23355,167,EU,Italy,IT,"Friuli-Venezia Giulia",IT-36,36,"Mortegliano (UD)",0,,,UDFLY,,,"Fly Synthesis",50,2017-07-30T01:15:32+00:00
316612,IT-0150,small_airport,"Aviosuperficie F. Baracca",45.838889,12.193889,269,EU,Italy,IT,Veneto,IT-34,34,"Nervesa della Battaglia",0,,,TVNER,,,"Jonathan, Baracca, F. Baracca",50,2017-07-07T01:23:03+00:00
317609,IT-0195,small_airport,"Aviosuperficie Corry's",45.519444,10.38,541,EU,Italy,IT,Lombardy,IT-25,25,"Nuvolera (BS)",0,,,BSNUV,,,Corry,50,2016-12-04T02:22:24+00:00
317000,IT-0171,small_airport,"Aviosuperficie Piancada",45.76417,13.07304,,EU,Italy,IT,"Friuli-Venezia Giulia",IT-36,36,"Palazzolo della Stella (UD)",0,,,UDPNC,,,Piancada,50,2017-07-09T02:44:32+00:00
298702,IT-0011,small_airport,"Aviosuperficie Avioclub Paternò",37.553356,14.884435,377,EU,Italy,IT,Sicily,IT-82,82,Paternò,0,,,,,,Paterno',50,2016-08-06T04:37:46+00:00
317005,IT-0176,small_airport,"Aviosuperficie La Filanda",43.4464,11.67414,,EU,Italy,IT,Tuscany,IT-52,52,"Pergine Valdarno (AR)",0,,,AR10,http://www.arturoghezzi.it/aviosuperficie/,,,50,2016-10-02T02:47:29+00:00
